City,Latitude,Temperature,Humidity,WindSpeed,Cloudiness,Date,Country
Saint-Philippe,45.36,57.2,47,9.17,1,1537653600,CA
Puerto Colombia,10.99,75.2,100,2.24,75,1537650000,CO
Jumla,29.28,36.68,92,2.28,100,1537654938,NP
Aklavik,68.22,42.8,86,8.05,75,1537653600,CA
Mount Gambier,-37.83,48.11,89,5.41,12,1537654939,AU
Jilib,0.49,74.12,87,8.32,12,1537654939,SO
Port Alfred,-33.59,61.97,100,9.44,0,1537654939,ZA
Chokurdakh,70.62,33.26,99,4.41,92,1537654940,RU
Torbay,47.66,57.2,100,21.92,90,1537653600,CA
Tuktoyaktuk,69.44,32.0,100,10.29,75,1537653600,CA
Albany,42.65,64.04,51,6.93,75,1537653300,US
Hilo,19.71,82.04,64,9.17,75,1537653180,US
Busselton,-33.64,54.5,100,7.65,12,1537654941,AU
Mar del Plata,-46.43,41.0,100,11.68,92,1537654852,AR
Luganville,-15.51,76.37,100,18.16,36,1537654941,VU
Atuona,-9.8,79.25,100,10.89,36,1537654942,PF
Sao Filipe,14.9,79.97,91,14.47,0,1537654942,CV
Hermanus,-34.42,40.55,98,3.85,0,1537654942,ZA
Puerto Ayora,-0.74,80.6,54,10.29,20,1537650000,EC
Fortuna,38.18,73.4,88,4.7,0,1537653600,ES
Mataura,-46.19,52.79,74,14.25,8,1537654943,NZ
New Norfolk,-42.78,48.2,57,6.93,75,1537653600,AU
Oriximina,-1.77,91.04,48,6.2,0,1537654944,BR
Erdenet,49.03,20.03,69,2.51,0,1537654944,MN
Yellowknife,62.45,46.4,49,16.11,20,1537653600,CA
Meoqui,28.27,73.4,49,8.05,40,1537652700,MX
Mount Isa,-20.73,75.2,27,8.05,0,1537653600,AU
Ushuaia,-54.81,35.6,74,13.87,90,1537650000,AR
Narsaq,60.91,46.4,42,13.87,75,1537653000,GL
Ilulissat,69.22,28.4,46,9.17,0,1537653000,GL
Georgetown,6.8,84.2,74,6.93,20,1537650000,GY
Khatanga,71.98,40.1,97,5.53,80,1537654947,RU
Barquisimeto,10.07,82.4,61,11.41,40,1537650000,VE
Tiksi,71.64,28.13,100,6.87,20,1537654947,RU
Seoul,37.57,66.2,72,4.7,75,1537653600,KR
Rikitea,-23.12,71.15,100,6.87,44,1537654948,PF
Salalah,17.01,75.2,83,3.36,0,1537649400,OM
Provideniya,64.42,44.78,97,23.98,0,1537654948,RU
Kasongo-Lunda,-6.48,71.96,89,2.73,44,1537654949,CD
Airai,-8.93,59.63,82,1.95,0,1537654949,TL
Saskylakh,71.97,29.12,93,6.98,56,1537654949,RU
Dikson,73.51,41.81,90,16.04,92,1537654950,RU
Lorengau,-2.02,82.58,100,4.41,56,1537654864,PG
Khor,47.88,50.36,96,5.19,92,1537654950,RU
Junction City,39.03,71.96,42,3.36,1,1537649760,US
Lebu,8.96,59.0,58,9.17,75,1537650000,ET
Tam Ky,15.57,77.0,94,5.64,40,1537653600,VN
Kolomyya,48.53,42.8,100,2.24,75,1537651800,UA
Kavieng,-2.57,83.84,100,5.86,12,1537654998,PG
Chuy,-33.69,79.97,64,16.26,20,1537654998,UY
Khair,27.94,74.03,96,15.14,92,1537654999,IN
Nanortalik,60.14,37.58,100,18.5,92,1537654999,GL
Avarua,-21.21,75.2,78,13.87,75,1537653600,CK
Praia,-20.25,78.8,54,12.75,20,1537650000,BR
Bluff,-23.58,59.18,77,4.41,0,1537655000,AU
Ketchikan,55.34,60.98,44,16.11,1,1537653360,US
Punta Arenas,-53.16,37.4,55,8.05,75,1537650000,CL
Kalabo,-15.0,81.86,25,10.0,64,1537655000,ZM
Butaritari,3.07,84.83,100,8.99,0,1537655001,KI
Bethel,60.79,50.0,92,21.92,90,1537653960,US
Oistins,13.07,82.4,74,12.75,20,1537653600,BB
Padang,-0.92,81.41,100,5.41,20,1537655003,ID
Ribeira Grande,38.52,75.2,95,17.49,92,1537655003,PT
Port Blair,11.67,82.22,100,8.1,44,1537655003,IN
Luderitz,-26.65,56.21,77,17.83,12,1537655004,NA
Saldanha,41.42,59.81,72,2.73,0,1537655004,PT
East London,-33.02,65.12,100,13.47,68,1537655004,ZA
Coquimbo,-29.95,53.6,93,11.41,90,1537650000,CL
Jamestown,-33.21,36.68,75,2.51,24,1537655005,AU
Tasiilaq,65.61,35.6,69,6.93,64,1537653000,GL
Puerto Penasco,31.32,91.85,72,7.65,0,1537654801,MX
Ponta do Sol,-20.63,76.01,61,3.62,8,1537655006,BR
Victoria,5.28,77.0,94,2.95,75,1537653600,BN
Great Falls,47.5,66.02,44,12.75,1,1537653180,US
Santa Ana,13.99,91.4,52,4.7,20,1537649400,SV
San Francisco,37.78,87.08,42,3.18,1,1537652100,US
Marienberg,50.65,57.2,57,3.36,0,1537653600,DE
Fukue,35.03,69.8,83,4.7,20,1537651800,JP
Cape Town,-33.93,57.2,76,12.75,0,1537653600,ZA
Arraial do Cabo,-22.97,75.2,78,3.36,20,1537650000,BR
Svetlogorsk,53.14,53.6,76,4.47,75,1537651800,RU
Vila Velha,-3.71,80.6,78,10.29,0,1537653600,BR
Belaya Gora,68.54,33.44,98,3.96,88,1537655010,RU
Kodiak,39.95,73.04,39,5.82,1,1537653180,US
Hamilton,32.3,80.6,74,23.04,75,1537649700,BM
Poum,41.28,59.18,67,0.6,0,1537654869,MK
Faya,18.39,69.8,21,5.82,0,1537650000,SA
San Patricio,-26.98,87.08,68,5.64,20,1537655012,PY
Sargatskoye,55.6,46.76,97,7.87,24,1537655057,RU
Zhezkazgan,47.8,40.73,78,2.95,0,1537655058,KZ
Huancabamba,-5.24,72.95,41,2.95,20,1537655058,PE
Portland,45.52,69.98,58,11.41,75,1537653180,US
Goianesia,-15.32,77.36,58,7.09,64,1537655058,BR
Raudeberg,61.99,50.0,71,24.16,92,1537653000,NO
Xichang,27.88,56.03,100,1.72,100,1537655059,CN
Castro,-42.48,48.38,91,8.88,92,1537655060,CL
Armidale,-30.51,42.44,79,2.62,0,1537655060,AU
Upernavik,72.79,30.56,100,6.08,0,1537655060,GL
Rieti,42.4,58.73,94,1.95,0,1537655061,IT
Meulaboh,4.14,76.64,100,6.98,56,1537655061,ID
Omboue,-1.57,78.17,100,10.0,100,1537655061,GA
Hareid,62.37,48.2,87,16.11,92,1537653000,NO
Townsville,-19.26,73.4,53,9.17,40,1537653600,AU
Hobart,-42.88,48.2,57,6.93,75,1537653600,AU
Ivanteyevka,55.97,66.2,59,11.18,0,1537651800,RU
Martapura,-3.41,71.6,94,1.12,0,1537650000,ID
Praya,-8.71,73.4,88,2.24,20,1537653600,ID
Kathmandu,27.71,66.2,100,1.83,75,1537653000,NP
Northam,51.04,51.8,93,5.82,75,1537653000,GB
Kaitangata,-46.28,53.24,69,19.28,32,1537655064,NZ
Hasaki,35.73,71.6,88,6.93,75,1537651800,JP
Melendugno,40.27,71.6,83,6.93,0,1537653000,IT
Norman Wells,65.28,51.8,32,8.05,20,1537653600,CA
Luanda,-8.83,71.42,93,5.19,0,1537655065,AO
Daan,17.0,66.38,85,2.17,0,1537655066,YE
Vaini,15.34,69.53,98,2.73,92,1537655066,IN
Hit,33.64,79.43,25,8.99,0,1537655066,IQ
Vila Franca do Campo,37.72,73.4,83,4.7,20,1537653600,PT
Caravelas,-17.73,77.09,100,12.8,76,1537655067,BR
Morondava,-20.3,72.23,100,4.97,0,1537655067,MG
Faanui,-16.48,74.48,100,15.37,92,1537655067,PF
Pangody,65.85,43.25,93,3.18,44,1537654923,RU
Bosaso,11.28,80.51,100,6.98,0,1537655068,SO
Daru,7.99,73.13,98,5.64,88,1537655068,SL
Thompson,55.74,37.4,40,8.05,5,1537653600,CA
Talcahuano,-36.72,57.2,76,10.29,75,1537650000,CL
Shakiso,5.77,57.47,95,2.17,80,1537655070,ET
Novikovo,45.05,54.23,100,2.51,0,1537655070,UA
Bilibino,68.06,37.13,91,2.39,92,1537655070,RU
Vuktyl,63.86,51.71,93,6.98,48,1537655117,RU
Jablonec,48.33,57.2,82,3.36,0,1537653600,SK
Freeport,26.54,82.4,78,10.89,75,1537650000,BS
Mahebourg,-20.41,75.2,69,11.41,75,1537653600,MU
Gizo,31.8,77.0,73,3.36,20,1537653000,IL
Bonthe,7.53,76.28,98,3.62,20,1537655119,SL
Nikolskoye,59.7,51.8,81,4.47,0,1537651800,RU
Inirida,3.87,83.84,78,2.62,32,1537655119,CO
Qaanaaq,77.48,18.68,100,12.24,0,1537655119,GL
Polyarnyy,69.2,50.0,76,6.71,40,1537651800,RU
Pringsewu,-5.36,69.35,90,0.72,0,1537655120,ID
Anadyr,64.73,42.8,75,11.18,75,1537650000,RU
Ngunguru,-35.62,57.92,100,10.0,0,1537655121,NZ
Sept-Iles,50.2,46.4,31,20.8,20,1537653600,CA
Lasa,34.92,77.0,77,9.17,0,1537653600,CY
Aksu,52.04,51.8,93,11.18,90,1537651800,KZ
Sao Jose de Ribamar,-2.56,78.8,83,11.41,0,1537653600,BR
Port Elizabeth,39.31,73.94,59,10.29,40,1537653360,US
Margate,-43.03,48.2,57,6.93,75,1537653600,AU
Turmalina,-17.29,84.11,39,7.31,44,1537655123,BR
Kapaa,22.08,84.02,79,12.75,90,1537653360,US
Joshimath,30.57,34.34,100,0.94,92,1537655124,IN
Cerritos,33.86,98.96,40,8.05,1,1537653480,US
Camacha,33.08,73.4,78,11.41,40,1537653600,PT
Ulladulla,-35.36,53.6,93,8.05,80,1537650000,AU
Alugan,12.22,74.93,100,7.43,44,1537655125,PH
Thinadhoo,0.53,83.48,100,1.39,88,1537655126,MV
Nuuk,64.17,37.4,86,9.17,75,1537653000,GL
Comodoro Rivadavia,-45.87,44.6,93,9.17,75,1537650000,AR
Angoram,-4.06,77.54,90,2.73,48,1537655126,PG
Emerald,-23.53,57.11,80,2.95,0,1537655127,AU
Palana,59.08,41.9,95,3.96,88,1537655127,RU
Balkhash,46.84,53.96,100,8.55,12,1537655127,KZ
Taltal,-25.41,65.48,72,3.74,0,1537655128,CL
Tura,25.52,74.48,93,2.39,32,1537655128,IN
Cayenne,4.94,84.2,74,8.05,0,1537651800,GF
Namibe,-15.19,65.93,98,7.76,20,1537655129,AO
Port Lincoln,-34.72,53.24,100,10.22,32,1537655129,AU
Saint-Pierre,48.95,60.8,72,14.99,90,1537653600,FR
Deputatskiy,69.3,15.26,76,2.62,36,1537655130,RU
Avare,-23.1,79.61,51,3.62,0,1537654836,BR
Hobyo,5.35,76.37,86,20.62,0,1537655130,SO
Buin,-33.73,64.4,63,13.87,0,1537653600,CL
Salair,54.23,49.64,90,6.98,68,1537655131,RU
Kahului,20.89,87.98,57,18.34,40,1537653360,US
Hithadhoo,-0.6,83.93,100,7.65,56,1537655178,MV
Husavik,50.56,42.8,100,12.46,92,1537655178,CA
Gao,16.28,86.54,47,4.18,0,1537655178,ML
Kachiry,53.07,49.1,96,15.03,92,1537654926,KZ
Saint George,39.45,64.4,63,2.06,0,1537653000,GR
San Quintin,17.54,75.2,94,2.24,40,1537653600,PH
San Ignacio,-36.8,59.0,67,8.05,75,1537650000,CL
Cocle,8.45,79.16,100,2.39,48,1537655180,PA
Lompoc,34.64,73.04,69,17.22,1,1537653360,US
Karratha,-20.74,56.3,35,3.51,0,1537655181,AU
Nizwa,22.93,71.15,51,2.73,0,1537655181,OM
Mango,44.69,73.4,83,4.7,20,1537653000,IT
Bambous Virieux,-20.34,75.2,69,11.41,75,1537653600,MU
Taurage,55.25,50.36,99,12.8,92,1537655182,LT
Cherskiy,68.75,34.16,97,2.39,80,1537655182,RU
Nome,30.04,81.14,83,4.7,40,1537653300,US
Poyarkovo,49.62,50.54,99,6.42,92,1537655184,RU
College,64.86,48.2,92,8.05,90,1537653360,US
Jos,9.92,65.93,97,2.51,64,1537655184,NG
Santa Cecilia,5.35,84.2,79,5.82,75,1537653600,CO
Miri,10.31,68.45,95,3.74,48,1537655109,NG
Irbeyskoye,55.64,40.55,88,2.84,80,1537655185,RU
Vao,59.1,53.51,69,12.46,56,1537655185,EE
Ashibetsu,43.42,55.4,100,2.24,75,1537652400,JP
Sault Sainte Marie,46.49,60.98,53,9.17,20,1537653600,CA
Iqaluit,63.75,35.6,74,8.05,90,1537653600,CA
Cabo San Lucas,22.89,87.8,66,9.17,5,1537652520,MX
Ocean City,30.44,88.16,51,8.05,40,1537653360,US
General Roca,-39.03,69.8,16,24.16,20,1537650000,AR
Ewa Beach,21.32,84.92,63,9.17,90,1537653960,US
Rorvik,64.86,48.2,100,22.75,92,1537655188,NO
Pevek,69.7,41.9,100,4.52,92,1537655188,RU
Khonsa,26.99,67.91,96,0.49,8,1537655188,IN
Saint-Francois,46.42,64.4,68,3.18,90,1537653600,FR
Severo-Kurilsk,50.68,46.85,100,4.74,56,1537655189,RU
Helena,46.59,75.92,20,3.36,1,1537653180,US
Winslow,51.94,51.8,93,6.93,90,1537653360,GB
Kihei,20.76,87.98,57,18.34,40,1537653360,US
Mocuba,-16.84,68.63,93,3.62,0,1537655190,MZ
Riyadh,24.63,86.0,25,3.4,0,1537650000,SA
Huanren,41.26,44.87,100,2.17,0,1537655191,CN
Phan Thiet,10.93,78.89,100,3.62,24,1537655191,VN
Dingle,11.0,72.86,98,2.73,64,1537655192,PH
Kampene,-3.59,72.95,77,1.5,56,1537655192,CD
Nioro,13.79,83.75,72,4.74,0,1537655033,GM
Ankara,39.92,57.2,35,1.12,0,1537653000,TR
Chepareria,1.32,55.58,95,1.39,56,1537655237,KE
Rio Grande,-32.03,77.0,73,9.17,0,1537652700,BR
Maple Creek,49.91,55.04,80,7.43,64,1537655238,CA
Codrington,-28.95,54.5,90,2.95,44,1537655238,AU
Inhambane,-23.87,72.41,98,9.55,80,1537655238,MZ
Mandera,3.94,84.11,41,10.89,36,1537655239,ET
Saint-Augustin,44.83,66.2,77,5.82,0,1537653600,FR
Strezhevoy,60.73,42.8,100,2.84,68,1537651800,RU
Sao Joao da Barra,-21.64,73.4,78,13.87,75,1537653600,BR
Katsuura,33.93,68.0,94,4.7,75,1537651200,JP
Preobrazheniye,42.9,43.7,88,1.95,20,1537655240,RU
Berlevag,70.86,47.84,97,14.81,0,1537655240,NO
Clyde River,70.47,23.0,100,8.05,90,1537653960,CA
Klaksvik,62.23,42.8,75,11.41,76,1537653000,FO
Pokhara,28.21,61.25,66,3.4,92,1537655241,NP
Bandarbeyla,9.49,77.63,98,15.26,0,1537655241,SO
Tautira,-17.73,80.6,61,11.41,75,1537653600,PF
Darhan,49.49,23.9,68,3.51,0,1537655242,MN
Bathsheba,13.22,82.4,74,12.75,20,1537653600,BB
Okhotsk,59.36,38.12,100,7.99,20,1537655243,RU
Ugoofaaru,5.67,80.96,100,13.47,76,1537655243,MV
Bredasdorp,-34.53,44.6,93,3.36,0,1537653600,ZA
Lagoa,37.14,82.4,34,6.93,0,1537653600,PT
Jalu,29.03,76.55,48,6.87,0,1537655244,LY
Troitsko-Pechorsk,62.71,51.26,96,6.08,20,1537655244,RU
Teguise,29.06,75.2,78,13.87,20,1537653600,ES
Mianyang,31.46,67.37,98,4.97,76,1537655245,CN
Svetlaya,46.54,55.67,100,13.35,92,1537655245,RU
Kumbo,6.21,64.04,98,2.73,92,1537655245,CM
Mizdah,31.45,81.86,31,11.34,36,1537655246,LY
Adrar,27.87,87.8,29,12.75,40,1537653600,DZ
Uglegorsk,49.08,44.24,95,2.73,68,1537655246,RU
Espinosa,-14.92,76.28,73,2.39,48,1537655246,BR
Melville,50.93,33.8,92,11.41,90,1537654620,CA
Cabedelo,-6.97,75.2,78,11.41,0,1537650000,BR
Naze,5.43,72.14,95,4.41,64,1537655248,NG
Pecanha,-18.55,79.34,55,5.19,36,1537655248,BR
Cranbrook,49.51,64.4,42,6.93,75,1537654140,CA
Saint-Georges,46.12,52.7,54,6.42,0,1537655249,CA
Talnakh,69.49,43.16,93,10.45,92,1537655249,RU
Longyearbyen,78.22,33.8,64,21.92,75,1537649400,NO
Qasigiannguit,68.82,28.4,46,9.17,0,1537653000,GL
Plouzane,48.38,64.4,100,18.34,90,1537653600,FR
Ojinaga,29.56,75.2,58,5.3,20,1537655250,US
Nyzhnya Duvanka,49.58,63.68,54,11.45,0,1537655250,UA
Creel,27.75,68.54,63,3.96,32,1537655251,MX
Tifton,31.45,91.04,33,4.7,1,1537653360,US
Nishihara,35.74,73.4,80,3.36,90,1537653360,JP
Atbasar,51.81,49.46,95,8.55,92,1537655298,KZ
Axim,4.87,78.08,100,10.56,92,1537655298,GH
Cidreira,-30.17,75.83,74,10.45,0,1537655298,BR
Zhanakorgan,43.91,51.98,92,3.18,8,1537655147,KZ
Lucea,18.44,86.0,70,12.75,20,1537653600,JM
Suntar,62.16,46.22,77,6.98,76,1537655300,RU
