City,Latitude,Temperature,Humidity,WindSpeed,Cloudiness,Date,Country
Moose Factory,51.26,39.2,80,6.93,90,1537653600,CA
Ferme-Neuve,46.7,52.7,65,6.31,0,1537655300,CA
Jurmala,56.97,51.8,76,11.41,0,1537653000,LV
Baykit,61.68,29.84,81,2.95,0,1537655301,RU
Najran,17.54,77.0,16,2.24,0,1537650000,SA
A Coruna,43.37,64.4,93,3.36,75,1537653600,ES
Ryotsu,38.08,64.4,100,4.7,20,1537650600,JP
Kruisfontein,-34.0,55.58,97,5.41,0,1537655303,ZA
Tandalti,13.01,77.18,82,2.84,0,1537655303,SD
Buchanan,5.88,75.2,94,5.86,75,1537653600,LR
Diffa,13.32,79.7,48,4.29,0,1537655304,NE
Sabzevar,36.21,48.74,73,1.61,0,1537655304,IR
Makakilo City,21.35,84.92,63,9.17,90,1537653960,US
Baherden,38.44,58.73,75,2.39,0,1537655305,TM
Umea,63.83,51.8,71,9.17,0,1537653000,SE
Abu Samrah,35.3,68.0,65,8.21,0,1537655305,SY
Cabatuan,16.95,67.73,98,1.83,12,1537655305,PH
Russell,-33.01,91.4,41,14.99,0,1537650000,AR
Rawson,-43.3,60.71,47,11.9,88,1537655306,AR
Barrow,-38.31,69.98,43,14.81,0,1537655306,AR
Quelimane,-17.88,71.6,88,5.3,20,1537653600,MZ
Goderich,43.74,59.9,82,5.64,0,1537655124,CA
Okha,53.59,37.49,93,2.95,12,1537655307,RU
Ruginesti,46.07,55.4,82,14.99,40,1537653600,RO
Itaituba,-4.26,93.2,49,8.05,20,1537650000,BR
Lavrentiya,65.58,45.41,92,23.53,0,1537655308,RU
Arlit,18.74,86.63,25,2.62,44,1537655308,NE
Ghanzi,-21.7,68.09,29,9.22,0,1537655309,BW
Desaguadero,-16.56,57.74,34,9.55,0,1537655309,PE
Morehead,38.18,64.94,90,5.19,90,1537654620,US
Muzhi,65.4,46.4,83,11.68,76,1537655310,RU
San Rafael,-34.61,75.38,10,23.87,0,1537655310,AR
Sorland,67.67,50.36,100,34.94,92,1537655311,NO
Khandagayty,50.73,26.69,78,1.39,0,1537655311,MN
Mehamn,71.03,47.84,93,15.14,0,1537655311,NO
Chacabuco,-34.64,79.16,72,7.87,0,1537655312,AR
Rocha,-34.48,84.02,49,18.28,44,1537655312,UY
Chapais,49.78,41.0,52,10.29,90,1537653600,CA
Siderno,38.28,73.4,73,5.82,0,1537653000,IT
Flinders,-34.58,53.6,93,8.05,64,1537650000,AU
Port Hardy,50.7,60.8,51,13.87,20,1537653600,CA
Coihaique,-45.58,44.6,93,3.36,75,1537653600,CL
Keti Bandar,24.14,80.69,97,18.28,76,1537655358,PK
Nativitas,19.23,75.2,38,13.87,40,1537652460,MX
Pisco,-13.71,71.6,30,18.34,0,1537653600,PE
Port Macquarie,-31.43,60.8,63,6.93,0,1537653600,AU
Kokkola,63.84,50.0,81,16.11,0,1537653000,FI
Kurumkan,54.33,21.47,83,2.06,0,1537655360,RU
Sitka,37.17,74.48,49,6.2,0,1537655360,US
North Bend,43.41,64.94,75,9.17,75,1537653360,US
Campbell River,50.02,59.0,77,3.36,75,1537653600,CA
Bonfim,3.36,95.18,40,4.97,36,1537655361,GY
Kalmunai,7.42,72.32,100,4.41,8,1537655362,LK
Malindi,-3.22,77.63,84,15.7,80,1537655362,KE
San Fernando,-34.58,55.4,87,3.36,75,1537650000,CL
Geraldton,49.72,37.4,93,4.7,90,1537653600,CA
Namatanai,-3.66,81.86,100,6.53,20,1537655363,PG
Virginia Beach,36.85,82.22,79,5.82,90,1537653660,US
Barrhead,54.12,34.43,86,13.69,92,1537655363,CA
Kununurra,-15.77,64.4,55,3.36,0,1537653600,AU
La Ronge,55.1,41.0,44,8.05,20,1537653600,CA
Houma,35.63,55.31,74,2.84,32,1537655364,CN
Minab,27.15,84.2,83,4.7,0,1537651800,IR
Adeje,5.68,72.59,99,3.85,56,1537655365,NG
Imuris,30.78,91.67,31,5.41,0,1537655365,MX
Richards Bay,-28.77,62.96,100,2.73,56,1537655366,ZA
Tumarbong,10.38,79.25,100,9.44,32,1537655366,PH
Grafton,-29.69,55.94,94,2.17,64,1537655366,AU
Saint-Remi,45.27,57.2,47,10.29,20,1537653600,CA
Jiuquan,39.73,32.09,56,2.95,8,1537655367,CN
Carnarvon,-30.97,52.43,27,11.12,0,1537655367,ZA
Gilbues,-9.83,94.01,19,8.43,20,1537655368,BR
Yar-Sale,66.83,43.16,100,7.2,44,1537655368,RU
Taoudenni,22.68,87.62,17,8.55,8,1537655368,ML
Mildura,-34.18,47.66,92,9.22,0,1537655369,AU
Altamira,-3.2,87.8,70,3.62,20,1537650000,BR
Ocos,14.51,87.8,78,11.41,75,1537653600,GT
Farkhor,37.49,57.02,70,6.64,36,1537655370,TJ
Bundi,25.44,73.58,99,3.96,92,1537655370,IN
Hirara,24.8,77.0,94,7.54,20,1537651800,JP
Palmer,-34.85,55.4,82,5.82,75,1537653600,AU
Dubki,43.02,64.4,88,6.71,40,1537651800,RU
Yatou,3.63,79.36,100,10.76,36,1537655418,CM
Dwarka,28.58,77.0,94,11.41,40,1537653600,IN
Prado,-17.34,77.65,96,12.21,80,1537655419,BR
Douglas,31.34,82.94,29,11.41,1,1537653360,US
Gamba,28.28,25.36,78,2.48,44,1537655420,CN
Ust-Kuyga,70.0,29.77,80,5.17,88,1537655420,RU
Omsukchan,62.53,37.06,78,3.6,20,1537655420,RU
Kupang,-10.16,77.0,94,8.05,20,1537653600,ID
Olinda,-2.03,84.2,58,9.17,20,1537653600,EC
Wanning,48.64,53.6,87,3.36,75,1537653000,AT
Barra do Garcas,-15.89,89.6,52,2.24,75,1537650000,BR
Uyuni,-20.46,40.66,60,4.94,0,1537655422,BO
San Francisco del Mar,16.34,88.54,84,17.81,20,1537655423,MX
Hofn,64.25,40.48,100,3.15,64,1537655423,IS
Conde,-11.81,75.49,91,7.63,80,1537655423,BR
Tumut,-35.3,57.49,78,2.93,8,1537655424,AU
Sambava,-14.27,72.16,100,17.69,64,1537655424,MG
Porec,45.23,66.2,72,3.36,0,1537653600,HR
Adana,37.0,77.0,88,3.36,75,1537653000,TR
Acapulco,16.86,87.8,70,3.36,75,1537653000,MX
West Plains,36.73,64.94,81,8.05,90,1537653960,US
Baikunthpur,23.26,68.74,94,4.16,24,1537655425,IN
Qaqortoq,60.72,46.4,42,13.87,75,1537653000,GL
Tooele,40.53,86.0,19,16.11,1,1537653480,US
Sterling,39.0,73.94,67,11.41,90,1537653360,US
Trairi,-3.28,79.27,99,19.71,68,1537655426,BR
Guilin,25.28,73.4,94,2.24,20,1537650000,CN
Zeya,53.74,48.13,53,4.27,44,1537655427,RU
Vestmannaeyjar,63.44,38.95,100,6.51,0,1537655427,IS
Constitucion,23.99,73.4,56,9.17,90,1537652400,MX
Oranjemund,-28.55,57.22,92,19.04,0,1537655428,ZA
Gbadolite,4.28,72.43,95,2.15,0,1537655428,CD
Paita,-5.09,62.6,290,12.75,0,1537650000,PE
Vila,45.18,69.8,77,3.36,0,1537653000,IT
Estevan,49.14,39.2,100,25.28,90,1537654500,CA
Grindavik,63.84,39.2,64,5.82,20,1537651800,IS
Uruzgan,32.93,29.86,71,1.14,0,1537655429,AF
Wamba,2.14,68.02,97,2.15,20,1537655430,CD
Buinsk,54.97,52.99,93,6.17,0,1537655430,RU
Nantucket,41.28,66.02,69,13.87,1,1537654500,US
Isangel,-19.55,71.44,100,17.69,8,1537655431,VU
Kursenai,55.98,50.0,81,13.87,20,1537653000,LT
Bealanana,-14.54,50.65,93,2.48,12,1537655477,MG
Spornoye,50.84,64.4,52,11.18,0,1537651800,RU
Birao,10.3,74.05,79,3.38,0,1537655478,CF
Yulara,-25.24,57.2,33,6.93,0,1537653600,AU
Kuching,1.56,77.0,94,2.15,75,1537653600,MY
Narrabri,-30.33,68.56,45,5.5,0,1537655479,AU
Arkhangelsk,64.54,60.8,93,11.18,40,1537651800,RU
Celestun,20.87,84.76,95,19.26,20,1537655479,MX
Batagay-Alyta,67.8,25.81,73,2.71,80,1537655480,RU
Shatsk,51.49,48.2,93,6.71,0,1537650000,UA
Cockburn Town,21.46,83.93,99,11.45,0,1537655318,TC
Brownwood,31.71,66.56,88,13.87,90,1537653300,US
Walvis Bay,-22.95,53.6,81,5.82,24,1537653600,NA
Shepsi,44.04,71.44,100,5.28,8,1537655481,RU
Beloha,-25.17,68.92,95,9.42,80,1537655482,MG
Gibara,21.11,86.0,55,11.41,20,1537653000,CU
Kulunda,52.57,49.66,94,13.56,68,1537655482,RU
Jiexiu,37.02,45.16,70,2.71,0,1537655482,CN
Ngara,-2.51,58.3,82,2.48,0,1537655483,TZ
Griffith,-34.29,66.04,59,5.73,0,1537655484,AU
Alta Floresta,-9.87,89.6,46,1.12,20,1537650000,BR
Gulu,2.77,63.07,96,3.71,20,1537655484,UG
Kudahuvadhoo,2.67,82.6,100,8.19,76,1537655484,MV
San Cristobal,-0.39,62.6,55,18.34,40,1537653600,EC
Paso de Carrasco,-34.86,73.4,83,6.17,90,1537653600,UY
Ashland,38.48,69.98,70,6.93,90,1537653060,US
Poso,-1.4,80.17,100,4.94,8,1537655486,ID
Solnechnyy,50.72,51.82,65,3.94,64,1537655486,RU
Basco,40.33,71.96,49,4.7,1,1537654500,US
Amberg,49.45,55.4,88,3.15,90,1537653360,DE
Maceio,-9.67,73.4,83,6.93,0,1537653600,BR
Itoman,26.12,82.4,92,2.37,1,1537653360,JP
Shimoda,34.7,76.12,100,17.25,100,1537655488,JP
Henties Bay,-22.12,54.43,100,4.16,24,1537655488,NA
Dzhebariki-Khaya,62.22,39.38,99,7.31,92,1537655366,RU
Rio Gallegos,-51.62,41.0,56,11.41,40,1537653600,AR
Quatre Cocos,-20.21,75.2,69,11.41,75,1537653600,MU
Senador Pompeu,-5.58,74.41,48,4.94,0,1537655489,BR
Westport,53.8,46.87,91,8.41,92,1537655481,IE
Kavaratti,10.57,80.26,100,3.49,32,1537655490,IN
Gondar,41.82,64.4,93,5.82,0,1537653600,PT
Calvinia,-31.47,33.82,71,2.59,0,1537655491,ZA
Hudson Bay,52.86,36.07,50,5.61,68,1537655454,CA
Puerto Escondido,15.86,89.6,66,8.05,75,1537652400,MX
Athabasca,54.72,37.87,52,13.0,92,1537655491,CA
Ahuimanu,21.44,84.92,69,9.17,40,1537653960,US
Vostok,46.45,51.91,97,2.93,88,1537655537,RU
Half Moon Bay,37.46,87.98,93,6.93,90,1537653360,US
Tarko-Sale,64.92,39.49,95,5.61,64,1537655538,RU
Black River,18.03,86.0,70,12.75,20,1537653600,JM
Derzhavinsk,51.1,48.76,81,9.08,92,1537655538,KZ
Obihiro,42.92,58.21,100,3.04,88,1537655539,JP
Oussouye,12.49,80.6,94,4.7,0,1537653600,SN
Vanimo,-2.67,80.53,100,7.85,36,1537655539,PG
Podor,16.65,84.94,58,13.0,48,1537655540,MR
Moranbah,-22.0,74.77,45,12.21,0,1537655540,AU
Moron,10.49,71.53,95,2.37,92,1537655540,VE
Tongchuan,34.9,53.6,93,1.48,0,1537650000,CN
Ancud,-41.87,47.14,98,8.97,92,1537655541,CL
Sesheke,-17.47,70.27,32,8.63,0,1537655541,NA
Amudat,1.95,59.11,90,2.26,44,1537655541,UG
Altoona,40.52,62.06,67,5.82,1,1537653300,US
Rognan,67.1,46.4,93,39.15,75,1537653000,NO
Lata,30.78,52.36,100,1.7,92,1537655542,IN
Kirakira,-10.46,80.44,100,11.1,36,1537655543,SB
Vardo,39.62,69.8,60,9.17,1,1537653300,US
Sinnamary,5.38,82.42,93,11.99,0,1537655543,GF
Buraydah,26.33,86.0,28,3.36,0,1537653600,SA
Tateyama,36.66,62.6,93,1.12,40,1537650600,JP
Faranah,10.04,72.88,94,4.94,68,1537655544,GN
Beringovskiy,63.05,45.79,100,14.23,80,1537655544,RU
Khuzdar,27.8,54.07,82,2.48,0,1537655545,PK
Grado,43.39,62.6,100,2.24,0,1537653600,ES
Emba,34.81,77.0,77,9.17,0,1537653600,CY
Terekli-Mekteb,44.16,59.2,95,8.86,0,1537655546,RU
Kavadarci,41.43,64.4,72,3.36,0,1537653600,MK
Guerrero Negro,27.97,77.11,70,12.21,0,1537655547,MX
Segezha,63.74,52.81,79,11.54,80,1537655547,RU
Beidao,34.57,54.07,96,2.48,88,1537655547,CN
Mangai,-4.07,70.36,99,2.71,56,1537655547,CD
Nouadhibou,20.93,69.8,83,16.11,0,1537653600,MR
Sooke,48.37,66.2,77,13.87,75,1537653600,CA
Uige,-7.61,64.69,95,2.15,44,1537655548,AO
Tari,12.41,74.86,91,2.93,44,1537655549,NG
Fairfield,38.25,89.6,20,8.05,1,1537653300,US
Samarai,-10.62,77.92,100,18.81,92,1537655549,PG
Inuvik,68.36,42.8,75,6.73,75,1537653600,CA
Yeppoon,-23.13,68.0,68,8.05,0,1537653600,AU
Arman,59.7,46.4,93,1.81,32,1537653600,RU
Monterey,36.6,80.6,67,8.05,1,1537653300,US
Shihezi,44.3,45.43,82,3.15,12,1537655551,CN
Kashiwazaki,37.37,69.46,92,2.93,12,1537655597,JP
Ayan,40.67,39.04,80,2.15,0,1537655598,TR
Bambanglipuro,-7.95,73.06,81,3.94,12,1537655598,ID
Hami,42.84,48.4,42,7.29,36,1537655598,CN
Aranos,-24.14,64.42,22,3.94,0,1537655598,NA
Yumen,40.29,39.22,62,7.52,0,1537655599,CN
Antofagasta,-23.65,60.8,72,13.87,20,1537653600,CL
San Roque,0.3,53.26,88,1.36,0,1537655600,EC
Cuencame,24.87,65.68,89,6.85,92,1537655600,MX
Dicabisagan,17.08,78.28,100,5.73,12,1537655600,PH
Arandis,-22.42,62.44,92,2.37,64,1537655601,NA
Am Timan,11.04,71.71,90,2.82,44,1537655601,TD
Katete,-0.78,60.19,83,2.48,44,1537655601,UG
La Romana,18.43,82.4,83,6.4,40,1537653600,DO
Hualmay,-11.1,62.71,80,6.62,32,1537655602,PE
Price,39.6,69.91,19,4.94,44,1537655602,US
Antequera,-24.09,86.56,49,5.61,0,1537655602,PY
Pangnirtung,66.15,32.02,91,5.39,88,1537655603,CA
Sassandra,4.95,77.56,98,11.43,88,1537655603,CI
Magallanes,12.83,80.62,100,8.75,64,1537655603,PH
Renqiu,38.71,59.56,41,8.75,0,1537655603,CN
Sarangani,5.4,82.42,99,17.36,8,1537655604,PH
Saint-Joseph,43.56,75.2,88,4.7,0,1537653600,FR
Buta,2.79,74.32,96,2.26,20,1537655605,CD
Carupano,10.67,80.26,94,10.76,56,1537655605,VE
Antalaha,-14.9,68.83,95,9.08,80,1537655605,MG
Beja,38.02,78.8,44,9.17,0,1537653600,PT
Kieta,-6.22,79.72,100,3.71,64,1537655606,PG
Kwinana,-32.25,57.2,100,4.7,0,1537653600,AU
Banjar,-7.37,69.64,97,2.59,80,1537655606,ID
Mlonggo,-6.53,79.63,87,6.29,0,1537655607,ID
High Level,58.52,50.0,25,6.93,5,1537653600,CA
Muros,42.77,60.8,100,1.12,0,1537653600,ES
Maldonado,-34.91,77.0,73,4.7,90,1537653600,UY
Luziania,-16.25,75.2,50,5.82,20,1537653600,BR
Kuandian,40.73,57.13,76,3.83,76,1537655608,CN
Merauke,-8.49,82.15,75,16.8,20,1537655609,ID
Gold Coast,-28.0,68.0,60,6.93,44,1537653600,AU
Manitouwadge,49.12,50.0,93,9.17,90,1537650000,CA
Grand Gaube,-20.01,75.2,69,11.41,75,1537653600,MU
Ulaanbaatar,47.92,19.4,92,2.24,0,1537653600,MN
Dodola,10.12,70.63,97,5.61,80,1537655610,BF
Kutum,14.2,74.95,51,10.65,0,1537655610,SD
Kamaishi,39.28,69.19,78,9.31,0,1537655611,JP
Tahe,52.34,45.97,80,6.51,68,1537655611,CN
Porbandar,21.64,80.62,85,15.01,92,1537655611,IN
Amurzet,47.69,50.65,100,4.61,0,1537655611,CN
Brae,60.4,46.4,70,18.34,80,1537653000,GB
Bilma,18.69,83.77,18,4.16,76,1537655658,NE
Taungdwingyi,20.0,77.56,92,3.71,76,1537655658,MM
Nemuro,43.32,60.1,100,17.02,92,1537655518,JP
Arica,-18.48,62.6,67,6.93,75,1537653600,CL
Kloulklubed,7.04,80.6,83,12.75,90,1537653000,PW
Urengoy,65.96,44.62,89,4.94,68,1537655659,RU
Zaragoza,41.65,77.0,47,10.29,0,1537653600,ES
Southbridge,42.08,68.0,59,6.93,75,1537653360,US
Los Llanos de Aridane,28.66,75.2,73,17.22,8,1537653600,ES
Borogontsy,62.67,42.82,85,6.96,92,1537655660,RU
Ixtapa,20.71,86.0,84,11.41,90,1537652700,MX
Wattegama,7.35,66.94,92,3.04,32,1537655661,LK
Souillac,45.6,68.0,77,8.05,90,1537653600,FR
Nove Hrady,48.79,49.03,77,3.04,68,1537655661,CZ
Fort Nelson,58.81,55.4,28,9.17,5,1537653600,CA
Taonan,45.34,47.32,88,6.96,80,1537655662,CN
The Valley,18.22,84.2,69,9.17,20,1537653600,AI
